,localisation,prix_annonce,date_pub,m2,pieces,chambres,lien,text_annonce,floatm2,eta,Loyer estimé,Prix/m2
77,1,195000,2017-10-31 00:00:00,"14,36",1.0,0.0,http://www.explorimmo.com/annonce-13401829.html,"PARIS 1ER - SAINT HONORE - LIGNE DIRECTE 01 40 20 93 95 - Au cinquième étage d'un immeuble du 18ème siècle, studio en bon état général,...",14.36,5.0,754.0,13579.387186629527
78,1,349800,2017-10-27 00:00:00,30,2.0,1.0,http://www.explorimmo.com/annonce-13971227.html,"Très bel appartement sur cour, de 30m², 2 pièces, situé dans le premier arrondissement, à proximité de Louvre et du Jardin Nelson Mandela,...",30.0,1.0,1300.0,11660.0
79,1,1150000,2017-09-20 00:00:00,82,3.0,2.0,https://proprietes.lefigaro.fr/annonces/appartement-paris-ile+de+france-france/13500133/,"Avenue de l'Opéra, à 100m du Louvre, un superbe appartement de 82,5m2 entièrement rénové au dernier étage d'un sublime immeuble en...",82.0,4.0,3500.0,14024.390243902439
80,1,160331,2017-09-20 00:00:00,23,1.0,0.0,http://www.explorimmo.com/annonce-13493821.html,"Menton : programme en Loi MALRAUX / ASL de 15 logements à MENTON, sur la Côte d'azur. Au cœur du centre historique de la ville de...",23.0,4.0,920.0,6970.913043478261
82,1,2415000,2017-09-14 00:00:00,"166,2",4.0,2.0,https://proprietes.lefigaro.fr/annonces/appartement-paris-ile+de+france-france/11642902/,"Paris 1er, Rue Duphot- Dans un bel immeuble ancien au 3 ème étage avec ascenseur, un superbe appartement de 166 m² . Il se compose...",166.2,2.0,6500.0,14530.685920577618
83,1,735000,2017-09-09 00:00:00,"47,02",1.0,0.0,http://www.explorimmo.com/annonce-13357713.html,"Au 3ème étage avec ascenseur d'un bel immeuble du XVIIème siècle, appartement style loft composé d'un très vaste séjour avec cuisine...",47.02,3.0,2850.0,15631.646108039131
84,1,140000,2017-08-26 00:00:00,11,1.0,0.0,http://www.explorimmo.com/annonce-11918797.html,"Etienne Marcel. Au 6ème et dernier étage d'un immeuble haussmannien, studette charmante, lumineuse, comprenant une pièce avec cuisine,...",11.0,4.0,754.0,12727.272727272728
87,1,990000,2017-07-21 00:00:00,60,2.0,1.0,http://www.explorimmo.com/annonce-12807847.html,"A deux pas du Jardin du Palais-Royal et du Louvre, très beau deux pièces de 60 m² , au 4ème étage avec ascenseur, dans un immeuble...",60.0,4.0,2350.0,16500.0
88,1,1000000,2017-07-12 00:00:00,58,3.0,1.0,http://www.explorimmo.com/annonce-12696503.html,"APPARTEMENT 1 CHAMBRE- PALAIS ROYAL-PARIS 1 Situé à proximité du passage Choiseul, appartement calme et lumineux, avec une belle hauteur...",58.0,4.0,2500.0,17241.379310344826
89,1,3750000,2017-06-30 00:00:00,150,5.0,2.0,http://www.explorimmo.com/annonce-12510223.html,Dans un magnifique immeuble en cur de pierre de charme aux parties communes charmilles avec ascenseur en étage élevé. Cet appartement...,150.0,4.0,5000.0,25000.0
90,1,3750000,2017-06-30 00:00:00,146,5.0,2.0,https://proprietes.lefigaro.fr/annonces/appartement-paris-ile+de+france-france/11482971/,"Dans un magnifique immeuble en pierre de taille aux parties communes élégantes, au quatrième étage avec ascenseur, un appartement de...",146.0,4.0,4816.0,25684.931506849316
91,1,475000,2017-06-10 00:00:00,29,1.0,0.0,http://www.explorimmo.com/annonce-9667248.html,"Ile de la Cité, une adresse mythique. Dans un très bel immeuble du XVIIème siècle, un studio de 29m² (26.42m² loi Carrez) plein Sud...",29.0,1.0,1300.0,16379.310344827587
92,1,640000,2017-05-12 00:00:00,"41,5",2.0,1.0,https://proprietes.lefigaro.fr/annonces/appartement-paris-ile+de+france-france/12116284/,"***RUE SAINT-HONORÉ / TUILERIES*** Proche de l'église Saint-Roch, dans un immeuble Art déco, au 6ème étage avec ascenseur, nous...",41.5,6.0,1775.0,15421.686746987953
93,1,1360000,2017-05-10 00:00:00,127,5.0,3.0,https://proprietes.lefigaro.fr/annonces/appartement-paris-ile+de+france-france/12103457/,"Rue de Rivoli, dans le quartier des Tuileries, nous vous proposons un appartement familial, très calme, donnant sur plusieurs cours,...",127.0,3.0,3900.0,10708.661417322835
94,1,599000,2017-05-05 00:00:00,"43,44",2.0,2.0,http://www.explorimmo.com/annonce-12085749.html,"A VENDRE PARIS 1ER - situé rue Saint Honoré, au 4ème étage d'un immeuble ancien, nous vous proposons ce ravissant appartement de 43,44m2...",43.44,4.0,2200.0,13789.13443830571
95,1,2630000,2017-05-05 00:00:00,195,5.0,3.0,http://www.explorimmo.com/annonce-12085740.html,"A VENDRE PARIS 1ER - à quelques minutes à pied de la place des Victoire et du Palais Royal, rue de Richelieu, au 3ème étage avec ascenseur...",195.0,3.0,5403.0,13487.179487179486
96,1,18000000,2017-04-27 00:00:00,400,8.0,5.0,http://www.explorimmo.com/annonce-11049495.html,"A VENDRE - PENTHOUSE TERRASSE - LOUVRE - PARIS 1ER - PISCINE Au deux derniers étages d'un immeuble art déco classé, beau duplex contemporain...",400.0,7.0,9700.0,45000.0
97,1,350000,2017-04-21 00:00:00,24,1.0,0.0,http://www.explorimmo.com/annonce-12007822.html,"** CHÂTELET / PONT NEUF ** Rue Bertin Poirée. Au 3ème étage (sans ascenseur) d'un immeuble ancien, nous vous proposons ce studio de...",24.0,3.0,1200.0,14583.333333333334
98,1,1595000,2017-04-06 00:00:00,148,3.0,1.0,http://www.explorimmo.com/annonce-11668043.html,"Aux trois derniers étages d'un immeuble Louis XIII, un triplex de 148m2 (123 m2 loi carrez) comprenant: Au 3ème étage, une entrée,...",148.0,3.0,4600.0,10777.027027027027
99,1,18000000,2017-04-04 00:00:00,485,8.0,4.0,http://www.explorimmo.com/annonce-10156710.html,"PARIS 1er MUSEE DU LOUVRE, RIVOLI. Dans un très bel immeuble ancien sécurisé, nous vous proposons cet exceptionnel duplex exposé Sud...",485.0,6.0,9700.0,37113.40206185567
100,1,1574000,2017-04-04 00:00:00,110,3.0,2.0,http://www.explorimmo.com/annonce-5018778.html,"A vendre Paris 1er Place Dauphine joli duplex de 110 m² avec vue sur la Seine et le Pont-Neuf, Métro Pont-Neuf. Duplex dans un immeuble...",110.0,1.0,4100.0,14309.09090909091
101,1,945000,2017-03-31 00:00:00,57,2.0,1.0,https://proprietes.lefigaro.fr/annonces/appartement-paris-ile+de+france-france/834264-4/,"Quai des Orfèvres - Dans un immeuble ancien avec ascenseur (jusqu'au 5ème étage), rare 2 pièces de 82 m² (57m2 loi carrez) au dernier...",57.0,4.0,1672.0,16578.947368421053
